Date,Open,High,Low,Close,Volume
2017-06-19,21444.75,21528.99,21436.08,21528.99,88364704
2017-06-20,21521.25,21535.03,21464.24,21467.14,83752008
2017-06-21,21466.39,21492.62,21390,21410.03,77553288
2017-06-22,21407.98,21456.47,21394.81,21397.29,78152248
2017-06-23,21380.92,21421.79,21333.89,21394.76,143179792
2017-06-26,21434.68,21506.21,21381.25,21409.55,68340344
2017-06-27,21411.19,21440.6,21310.66,21310.66,84487632
2017-06-28,21372.36,21478.75,21372.36,21454.61,76134408
2017-06-29,21487.38,21487.38,21197.08,21287.03,96138744
2017-06-30,21348.6,21426.12,21325.08,21349.63,100731784
2017-07-03,21392.3,21562.75,21391.71,21479.27,57803632
2017-07-05,21492.83,21505.36,21404.76,21478.17,79561424
2017-07-06,21423.93,21433.1,21305.38,21320.04,88100928
2017-07-07,21354.66,21425.82,21350.72,21414.34,72678784
2017-07-10,21381.23,21446.39,21371.11,21408.52,72627776
2017-07-11,21410.17,21441.62,21279.3,21409.07,70282976
2017-07-12,21467.93,21580.79,21467.93,21532.14,81783272
2017-07-13,21537.19,21568.72,21512.36,21553.09,69468632
2017-07-14,21532.77,21681.53,21521.72,21637.74,66008224
2017-07-17,21633.97,21661.81,21617.66,21629.72,70534032
2017-07-18,21589.94,21589.94,21471.14,21574.73,63976184
2017-07-19,21569.25,21640.75,21565.84,21640.75,69055776
2017-07-20,21641.54,21661.91,21576.96,21611.78,85281760
2017-07-21,21591.72,21592.61,21503.78,21580.07,109708544
2017-07-24,21577.78,21577.78,21496.13,21513.17,88378704
2017-07-25,21638.56,21670.62,21577.37,21613.43,83556792
2017-07-26,21690.38,21742.7,21683.29,21711.01,70726000
2017-07-27,21717.42,21798.47,21687.85,21796.55,111254848
2017-07-28,21787.51,21841.18,21756.12,21830.31,72970192
2017-07-31,21863.39,21929.8,21861.71,21891.12,103845792
2017-08-01,21961.42,21990.96,21940.81,21963.92,81196352
2017-08-02,22004.36,22036.1,21967.46,22016.24,89832472
2017-08-03,22007.58,22044.85,21991.32,22026.1,71271056
2017-08-04,22058.39,22092.81,22024.64,22092.81,73643272
2017-08-07,22100.2,22121.15,22081.97,22118.42,59559020
2017-08-08,22095.14,22179.11,22057.29,22085.34,67845640
2017-08-09,22022.34,22057.19,21996.69,22048.7,70957104
2017-08-10,21988.2,21988.2,21843.94,21844.01,85167168
2017-08-11,21883.32,21911.09,21842.74,21858.32,69862728
2017-08-14,21945.64,22019.23,21945.64,21993.71,70864824
2017-08-15,22029.91,22038.92,21971.48,21998.99,67615112
2017-08-16,22031.93,22085.71,22002.47,22024.87,77187344
2017-08-17,21984.74,21984.74,21750.32,21750.73,95965912
2017-08-18,21724.88,21793.35,21641.63,21674.51,103641784
2017-08-21,21671.36,21718.74,21600.34,21703.75,85502752
2017-08-22,21739.78,21912.83,21738.13,21899.89,71556952
2017-08-23,21850.27,21866.66,21808.39,21812.09,68867400
2017-08-24,21839.9,21870.11,21765.82,21783.4,67719336
2017-08-25,21819.08,21906.86,21812.81,21813.67,63934272
2017-08-28,21832.5,21861.49,21767.94,21808.4,69204944
2017-08-29,21718,21879.22,21673.58,21865.37,64586520
2017-08-30,21859.76,21914.26,21839.47,21892.43,73008280
2017-08-31,21936.01,21985.76,21910.5,21948.1,131658352
2017-09-01,21981.77,22038.97,21974.91,21987.56,71060728
2017-09-05,21912.37,21921.09,21709.63,21753.31,90507776
2017-09-06,21815.76,21849.24,21794.07,21807.64,89896832
2017-09-07,21820.38,21850.01,21745.71,21784.78,84964544
2017-09-08,21764.43,21846.63,21731.12,21797.79,77327648
2017-09-11,21927.79,22067.1,21927.79,22057.37,90501048
2017-09-12,22090.56,22134.57,22087.09,22118.86,96089176
2017-09-13,22103.47,22158.18,22095.79,22158.18,78255920
2017-09-14,22144.96,22216.44,22135.26,22203.48,84161896
2017-09-15,22252.44,22275.02,22214.52,22268.34,276388928
2017-09-18,22297.92,22355.62,22283.35,22331.35,81321488
2017-09-19,22349.7,22386.01,22340.71,22370.8,80954800
2017-09-20,22351.38,22413.26,22314.68,22412.59,93616064
2017-09-21,22414.02,22419.51,22356.55,22359.23,80255744
2017-09-22,22334.07,22364.31,22299.58,22349.59,84573792
2017-09-25,22320.47,22359.88,22219.11,22296.09,102604968
2017-09-26,22322.03,22369.35,22279.52,22284.32,79997888
2017-09-27,22330.93,22371.1,22254.93,22340.71,93009424
2017-09-28,22306.83,22394.74,22288.97,22381.2,75651648
2017-09-29,22358.47,22405.63,22332.96,22405.09,88016512
2017-10-02,22423.47,22559.38,22416,22557.6,74048120
2017-10-03,22564.45,22646.32,22562.9,22641.67,60991248
2017-10-04,22645.67,22685.94,22632.8,22661.64,66049748
2017-10-05,22669.08,22777.04,22655.14,22775.39,66902248
2017-10-06,22762.03,22773.67,22730.85,22773.67,63604172
2017-10-09,22779.73,22803.37,22739.38,22761.07,74918584
2017-10-10,22784.76,22850.51,22770.99,22830.68,78343496
2017-10-11,22827.65,22872.89,22821.66,22872.89,86708128
2017-10-12,22854.85,22884.82,22821.13,22841.01,76255584
2017-10-13,22876.43,22905.33,22855.93,22871.72,74683112
2017-10-16,22892.92,22960.12,22887.12,22956.96,64929120
2017-10-17,22952.41,23002.2,22948.23,22997.44,65931468
2017-10-18,23087.13,23172.93,23086.75,23157.6,64837552
2017-10-19,23107.47,23167.24,23052.67,23163.04,86222768
2017-10-20,23205.18,23328.84,23201.78,23328.63,128229232
2017-10-23,23348.95,23368.37,23273.96,23273.96,109474336
2017-10-24,23346.78,23485.25,23343.23,23441.76,88155504
2017-10-25,23431.09,23451.51,23251.11,23329.46,102606224
2017-10-26,23380.89,23459.84,23380.89,23400.86,89231720
2017-10-27,23419.16,23449.4,23353.16,23434.19,127750248
2017-10-30,23405.75,23428.75,23327.87,23348.74,107582208
2017-10-31,23369.22,23406.35,23334.39,23377.24,110803456
2017-11-01,23442.9,23517.71,23388.91,23435.01,90304176
2017-11-02,23463.24,23531.38,23350.98,23516.26,87301864
2017-11-03,23549.59,23557.06,23481.57,23539.19,78599064
2017-11-06,23533.96,23574.86,23520.75,23548.42,87854528
2017-11-07,23574.03,23602.12,23484.19,23557.23,76931408
2017-11-08,23542.6,23575,23510.56,23563.36,72774608
2017-11-09,23492.09,23516.74,23310.02,23461.94,79675824
2017-11-10,23432.71,23452.2,23392.96,23422.21,88393136
2017-11-13,23367.47,23461.68,23343.34,23439.7,109022184
2017-11-14,23388.4,23414.08,23271.57,23409.47,123259752
2017-11-15,23334.59,23344.99,23242.75,23271.28,97854296
2017-11-16,23365.34,23492.19,23365.34,23458.36,93734208
2017-11-17,23433.77,23433.77,23356.01,23358.24,106204512
2017-11-20,23370.71,23456.88,23360.58,23430.33,80004992
2017-11-21,23500.15,23617.8,23500.15,23590.83,92484576
